,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
35,Rockdale,27/11/2018,2 Bathrooms,4 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/rockdale/flatshare-houseshare/large-own-room-5-minutes-walk-to-rockdale-station/1201216446,Street,No,$230,No,"Large Own Room, No Sharing.,Guarantee no rental increase for 12 months.,Newly renovated house, 1 room for lease, fully furnished*, including reasonable electricity, water, unlimited wireless WIFI.,Suitable for single, clean, non-smoking, minimum cook, stay for long term.,*Double bed, built-in wardrobe, desk, chair, shelf, independent room lock & key.,Please txt ******0255","Large Own Room, 5 minutes walk to Rockdale station",Houseshare,"Ge,Gummie since, ,2009","2, , views",33.6430283,-84.0322064
36,105 Church St. Parramatta 2150,17/11/2018,3 Bathrooms,3 Bedrooms,2 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/parramatta/flatshare-houseshare/double-bedroom-1min-walk-to-westfield-parramatta-train-station/1201216593,Street,No,$270,No,"Are you looking for place to call HOME???,This's what you looking for :),Hi all, we are looking for 1Person or 2Friends to share the Double Bedroom>>your own bedroom(share bath room with only 1girl),This's modern luxury apartment 2split level apartment with 3bedrooms 3bathroom ,,,, huge living area modern kitchen with gas cooking,,,, microwave,, fridge,,, oven,,,etc.,You will have your own bedroom built in wardrobes ,,, leather bed ,,, latex mattress pillow top(quality mattress) ,,, bed sheet ,,,, pillow,,,, blanket ,,, have matching leather bed sides as seen on picture,Share bath room with only 1girl,1minute walk to Parramatta train station,1minute walk to Westfield Shopping centre,Convenience store ,, a lot of restaurant ,,, cafe,,, very convenience location on the main road.,The rent is $270/week for 1Person and $290/week for 2person,Included all bills ,,,,, Unlimited Internet,>>>>AVAILABLE NOW!!!!!,(Preferred someone can move in straight away),Address 105 Church Street Parramatta.,If you interested >>need more detail>>,please contact to arrange time for inspection,>>0468..... 932.......911 Steve,If you still see this advertise, that means it still available :)",Double Bedroom>>1min walk to Westfield&Parramatta Train Station,Flatshare,"steve,Gummie since, ,2011","7, , views",-33.8247858,151.0045313
37,93 Quay st. Haymarket NSW 2000,17/11/2018,3 Bathrooms,2 Bedrooms,2 hours ago,2 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/international-asian-apartment-available-now-for-tidy-female/1201216363,None,No,$155,Yes,"Hello guys! We are looking for roommates to stay together.,location is perfect and it's very easy to go everywhere!,Master Girls Room $155/w/p (Bills included),Master Guys Room $155/w/p (Bills included),Available NOW,Minimum stay 3 months. 2 weeks bond(refund), pay 2 weeks in advance, 2 weeks notice before leaving.,Own swipe card and keys.,Unlimited fast WIFI，Swimming pool,Fully furnished,NO PARTY. SMOKE IN BALCONY ONLY.,2 mins walk to Central station.,2 mins walk to UTS.,2 mins walk to Woolworths.,you will love it!,If you interested, Please text me anytime !!,******9939",International Asian apartment available now for Tidy Female,Flatshare,"Yui,Gummie since, ,2011","4, , views",-33.882113,151.203155499
38,"Sydney Region, NSW",01/12/2018,,1 Bedroom,2 hours ago,45 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/sydney-region/flatshare-houseshare/private-room-in-auburn-walking-to-the-station/1201216626,Covered,No,$230,No,"a private room for in a 5 bed room house to rent, 750 meter walking to the station, about 9 minute walk.,Fully furnished with bed, wardrobe, desk, tv, air-con and wifi.,Shared bath room and kitchen. No Pet.,Bills are included.","Private Room in Auburn, walking to the station",Houseshare,"Kevin,6, ,ads,Gummie since, ,2018","2, , views",14.4473077,121.0092469
39,"1443 Botany Road, Botany NSW",17/11/2018,4 or more Bathrooms,1 Bedroom,3 hours ago,3 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/botany/flatshare-houseshare/airport-lodge-inc-bills-wifi/1201207488,,No,$230,No,"CLEAN FULLY FURNISHED SINGLE ROOM WITH FRIDGE AND TV - IS A CLOSE WALK TO SHOPS, CAFES, AND TRANSPORT - PREFER WORKING MALE - BOND $460 RENT $230 PER WEEK THIS INCLUDES BILLS & Wi Fi - please call 9316,8027",AIRPORT LODGE INC BILLS & WiFi,Houseshare,"Jen,Gummie since, ,2011","5, , views",-33.9501174,151.1972841
40,dee why beach,17/11/2018,1 Bathroom,2 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/dee-why/flatshare-houseshare/room-for-rent-dee-why-/1201207615,Off Street,No,$220,No,"Room for rent in dee why northern beahes ,two bedroom unit nice and clean looking for someone who can share the flat , the room is fully furnished and you will get everything ,what you use in daily basis.,Kitchen equipment,Washing machine,Internet,Tv with Netflix,WOO-HOO,RENT -220 including everything what a great offer,Bond- 2 weeks advance please.,No extra cost .,220 is the best price come and grab.,Cheers,For more information please give me call-,Contact- ******7555",Room for rent(dee why),Flatshare,"Mr. j,Gummie since, ,2014","12, , views",-33.753289,151.2957487
41,"harvey st, pyrmont",17/11/2018,2 Bathrooms,3 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/guy-girl-flatmate-wanted-pyrmont-the-rocks-220pw/1201207742,None,No,$220,Yes,"***PLEASE NOTE - THIS IS NOT A PRIVATE ROOM, ITS A SHARE ROOM!***,** 3 MONTH MINIMUM STAY,** 2 WEEKS BOND REQUIRED,Sharing room with one Person, available now in city. We are looking for GUY to share our beautiful flatshare in Pyrmont.,About the apartment:,3 large bedrooms, modern kitchen and bathrooms, large outdoor terrace, all shops and supermarkets and coles close to doorstep.,•Fully furnished with lounge room, kitchen, laundry, bathroom and courtyard.,5 minute walk to Darling harbour and shops. Light rail metro station under building and bus stop 1 min walk.,Interested ???,Housemates are very friendly and fun bunch from Europe,PLEASE MSG ME YOU NAME, NATIONAILTY, AGE & HOW LONG YOU STAY to ******** 926",GUY/GIRL FLATMATE WANTED - PYRMONT/THE ROCKS- $220PW,Flatshare,"Dan,Gummie since, ,2012","6, , views",-33.8672887,151.1916357
42,Wentworthville NSW,10/12/2018,3 Bathrooms,5 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/wentworthville/flatshare-houseshare/clean-room-in-a-big-house/1201208475,Street,No,$150,No,"BIG clean room with wardrobe, BRAND new beds and ample natural light.,Huge house with beautiful backyard,Clean and exceptionally organised,Wi-fi, entertainment, parking available,Netflix/ Sub-continent TV channels available,Fully equip kitchen, laundry, storage,Utensils and own cupboard access in Kitchen,Own Private bathroom with ensuite room, or seperate bath and toilet available.,10 Minutes to train station",CLEAN ROOM IN A BIG HOUSE,Houseshare,"Home,Gummie since, ,2018","6, , views",-33.8066667,150.9677778
43,"Carilla St, Burwood, NSW",17/11/2018,3 Bathrooms,3 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/burwood/flatshare-houseshare/burwood-near-park/1201208441,Street,No,$250,No,"A single Bedroom in exilend Position, quiet Street close to Railway Bus and shopping Centers, very safe and secure House. Availabel immediatly, no extra Bills one week Bond of $250 required. Ring us on (02) *****1887 or ******** 691",Burwood near Park,Houseshare,"Manfred,Gummie since, ,2014","4, , views",-33.8759598,151.099839
44,"59 Balmain Road, Leichhardt NSW 2040",17/11/2018,1 Bathroom,2 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/leichhardt/flatshare-houseshare/master-room-available-now-singles-220-couples-250-all-bills-incl/1201208558,Street,No,$220,Yes,"My friend went back to his country and now I have a room available for rent. This is a bright, cosy and fully furnished apartment with a comfy living room, large kitchen, internal laundry and balcony with morning light. The available bedroom is spacious, tidy and quiet. A queen size bed or 2 single beds can be fitted in the master room as you wish.,The rent is inclusive of all bills and internet.,You will have your OWN room keys so you can enjoy your world with total privacy.,Preferable a minimum stay of 4 months.,You will be sharing the whole apartment with only one person.,Mobile Phone for contact O468 870 081,*****************FIRST INTERESTED FIRST SERVED*************,The location is prime, just one minute walking distance from “The Italian Forum”, only 50 mts away from Parramatta Road and just a 2 minutes walk to Coles and the shopping centre. 100 mts away from the Bus stop. You can catch a bus and be in the city within 10 minutes.,10 minutes to The University of Sydney and Broadway.,15 minutes to Central, Ultimo TAFE and UTS.,Buses: M10 - 413 – 436 - 438 - 439 - 440 - 461 – 483 to the city every 5 minutes.,This apartment is located in a residential area and suits perfectly to a clean and tidy person or couples/partners/friends that enjoy having their own quiet time. All bills are INCLUDED (Internet, electricity and gas).,Please No party people.,The common areas must be clean and organised at all times (kitchen, bathroom, lounge etc).,The rent is $220 per week for one person or$250 per week for a couple or two friends in the room plus 2 weeks bond.,If you wish to make an appointment to inspect, please text me or call me directly on my mobile O468-870-081 so we can arrange inspection.,Please come along and we can have a good chat.,Cheers!",MASTER ROOM.Available NOW.Singles$220 Couples$250 All Bills INCL,Flatshare,"Joe Zamorano,Gummie since, ,2011","6, , views",-33.8811551,151.1589422
45,Eastwood NSW,17/11/2018,2 Bathrooms,3 Bedrooms,3 hours ago,30 minutes ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/eastwood/flatshare-houseshare/eastwod-single-room/1201208639,Street,No,$155,No,"- Fully furnished with large wardrobe.,- 500 meters to train station and 200 meters to shops.,- Easy access to MQ and to Sydney CBD only 25mins by train.,- Very clean and tidy with friendly housemates.,- Rent is $155pw including expenses and WiFi.,- Suits working people or student.,- Please call owner on ******9993 for inspection",Eastwod Single Room,Houseshare,"Jason,Gummie since, ,2008","3, , views",-33.79,151.0844444
46,Split road,15/11/2018,1 Bathroom,2 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/cremorne/flatshare-houseshare/couple-room-mosman-450/1201059493,,No,$450,No,"I have a big room available for couple in Mosman $450 with all bills included.,The flat is really organised and clean in an amazing location with bus stop to city and Northern beaches at door steps.,The stunning Balmoral beach is 10 min walking distance .,Close to the Mosman shops , supermarkets, and gym.,If you are interested to do an inspection please call to ******3610,Cheers 🍻 ",Couple room Mosman $450,Flatshare,"Grace,5, ,ads,Gummie since, ,2016","4, , views",30.082012,-95.635869
47,Ashfield NSW,19/11/2018,2 Bathrooms,5 Bedrooms,3 hours ago,3 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/ashfield/flatshare-houseshare/furnished-single-room-for-one-person-180-w-bill-free-ashfield/1201209381,Street,No,$180,No,"Spacious house, two bathroom and 3 toilets, full furnished, unlimited high speed wireless internet access, quiet environment, walking distance to Ashfield train station and shopping center (9 to 10 minutes walking to train station, Coles, Woolworth, ALDI, Kmart suppermarkets and plenty Asian food shops and restaurants), easy access Sydney CBD, UTS, Sydney University (city bus 480, 483, 461 8 to 9 minutes walking). 3 minute walking to convenience shop, no pet, no child and non-smoking, shared in the same house are young professional/ uni student, easy going, a single room available now, looking for non-smoking, tidy, loving quiet professional working person/student, rent $180/week. bills are included, ready for moving soon, 10 weeks minimum stay is preferred. address: John street, Ashfield NSW 2131. Contact Charles by phone for inspection.","Furnished single room for one person $180/w, bill free, Ashfield",Houseshare,"Charles,Gummie since, ,2012","4, , views",-33.8894781,151.1274125
48,Wiley Park NSW,24/11/2018,2 Bathrooms,2 Bedrooms,3 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/wiley-park/flatshare-houseshare/room-for-rent-1-min-walk-from-wiley-park-station/1201209997,Street,No,$225,,"Hi guys !!,We are Bangladeshi couple ready to share our 2 bedroom unit with a COUPLE WITH NO KIDS OR SINGLE FEMALE ONLY. The unit is located 1 MIN WALKING DISTANCE FROM WILEY PARK STATION , second floor of the apartment complex, front faced beautiful balcony lounge view and sunny.,Please read the extra features we offering-,-Separate toilet,-Separate large fridge,-INTERNAL LAUNDRY,-Stainless steel stove & GAS COOKING,- 3 door LARGE 3 BUILT IN ROBE.,-Ready to assemble queen size bed (MATTRESS NOT PROVIDED) if u want,- 24/7 lift and security intercom access all comes for only $225 EXCLUDING ELECTRICITY, GAS AND INTERNET),WE ARE DECENT COUPLE AND EXPECT DECENT PEOPLE TO SHARE WITH. NO SMOKE, NO PET AND PARTICULARLY NO KIDS!!!!! PLS DONT CALL IF ARE SINGLE MALE. CHEERS!!!","Room for Rent ,1 min walk from Wiley Park Station",Flatshare,"Sid,Gummie since, ,2014","5, , views",-33.9230556,151.0677778
